Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A899578,"6301 CROWLEY TRAIL
AUSTIN 78729
(30.443335986, -97.744826021)",Yes (come to the shelter),03/06/2024,Dog,Labrador Retriever,White,Intact Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A899578
A706846,"6402 NAVARRO CREEK78617
(30.165188983, -97.594319981)",Yes (come to the shelter),03/07/2024,Dog,Chihuahua Shorthair/Pug,Sable/Black,Neutered Male,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A706846
A884594,"KEMP STREET AUSTIN 78741
(30.2391611, -97.7301859)",Yes (come to the shelter),03/05/2024,Dog,Jack Russell Terrier Mix,White/Tan,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A884594
A898024,"PATTON LANE AUSTIN 78723
(30.2935393, -97.6999965)",Yes (come to the shelter),03/01/2024,Dog,Pit Bull Mix,Brown/White,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A898024
A899499,"5801 AINEZ DR
AUSTIN 78744
(30.185944, -97.737594032)",Yes (come to the shelter),03/05/2024,Dog,German Shepherd/Anatolian Shepherd,Brown/Black,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A899499
A899435,"4475 BRANDT RD
AUSTIN 78744
(30.159396653, -97.771890928)",Yes (come to the shelter),03/04/2024,Dog,Chihuahua Shorthair Mix,Brown/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899435
A899299,"320 E 6TH ST
AUSTIN 78701
(30.26745101, -97.739510973)",Yes (come to the shelter),03/01/2024,Dog,Labrador Retriever Mix,Tan/White,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A899299
A899411,"300 FERGUSON
AUSTIN 78753
(30.376173011, -97.68492299)",Yes (come to the shelter),03/04/2024,Cat,Domestic Shorthair,Black,Intact Male,7 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899411
A899324,"2ND ST
AUSTIN 78701
(30.265398804, -97.748112032)",Yes (come to the shelter),03/02/2024,Cat,Domestic Shorthair,Tortie,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899324
A899487,"1602 FRONTIER VALLEY DRIVE
AUSTIN 78741
(30.225181994, -97.695391987)",Yes (come to the shelter),03/05/2024,Dog,Pit Bull Mix,White/Black,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A899487
A899213,"2200 TABOR CT
AUSTIN 78748
(30.176227992, -97.82677899)",Yes (come to the shelter),03/01/2024,Dog,Chihuahua Shorthair/Dachshund,Red,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A899213
A899267,"8401 RIVERSTONE
AUSTIN 78724
(30.292970007, -97.628770022)",Yes (come to the shelter),03/01/2024,Dog,Great Pyrenees,White/White,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899267
A899440,"6608 ASHLAND DR
AUSTIN 78723
(30.308468021, -97.664782031)",Yes (come to the shelter),03/04/2024,Cat,Domestic Shorthair,Blue Tabby/White,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899440
